Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
PIH,"1347 Property Insurance Holdings, Inc.",7.65,45585324.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pih
FLWS,"1-800 FLOWERS.COM, Inc.",10.6,691985871.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/flws
FCCY,1st Constitution Bancorp (NJ),17.6,140505974.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,43.34,1121455092,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",8.47,482177466.5,56927682,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",32.68,1537940767,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/twou
JOBS,"51job, Inc.",34.49,924103365.8,26793371,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jobs
CAFD,8point3 Energy Partners LP,12.69,1003376422,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cafd
EGHT,8x8 Inc,14.05,1272250879,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",15.9,358864844.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",37.65,1108486029,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/shlm
AAON,"AAON, Inc.",33.05,1743560682,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaon
ABAX,"ABAXIS, Inc.",54.07,1218467450,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abax
ABEO,Abeona Therapeutics Inc.,5.15,205791775.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,2.75,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,3.32,85510391.44,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abil
ABMD,"ABIOMED, Inc.",116.92,5072105702,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,2.29,309379000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/axas
ACIU,AC Immune SA,14.93,827062907.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",66.89,2503215306,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,7.55,380998519,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",36.84,3223525088,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,26.76,3241006519,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acad
ACST,"Acasti Pharma, Inc.",1.2677,13579650.57,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",22.6,1162475002,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/axdx
ACCP,"Accelerated Pharma, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/accp
XLRN,Acceleron Pharma Inc.,29.7,1121071139,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/xlrn
ANCX,Access National Corporation,28.67,304196698.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ancx
ARAY,Accuray Incorporated,5.25,428892912,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",3.25,147334817.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acrx
ACET,Aceto Corporation,21.41,643399039.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acet
AKAO,"Achaogen, Inc.",5.25,144119850,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/akao
ACHN,"Achillion Pharmaceuticals, Inc.",4.34,593195053.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",19.84,2327018224,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aciw
ACRS,"Aclaris Therapeutics, Inc.",29.28,762743560.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acrs
ACNB,ACNB Corporation,32.1,194560090.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",21.4,986846148.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acor
ACTS,"Actions Semiconductor Co., Ltd.",2.16,49897352.16,23100626,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acts
ATVI,"Activision Blizzard, Inc",36.79,27342819919,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atvi
ACTA,Actua Corporation,14.8,584267384.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acta
ACUR,"Acura Pharmaceuticals, Inc.",1.0001,11834984.38,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acur
ACXM,Acxiom Corporation,27.3,2114888985,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acxm
ADMS,"Adamas Pharmaceuticals, Inc.",15.66,344244838.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,2.85,61516774.05,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/admp
ADAP,Adaptimmune Therapeutics plc,4.16,135386334.7,32544792,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adap
ADUS,Addus HomeCare Corporation,33.75,386893158.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",1.66,16822830.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aey
IOTS,Adesto Technologies Corporation,1.95,30205404.45,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iots
ADMA,ADMA Biologics Inc,5.23,67397655.43,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adma
ADBE,Adobe Systems Incorporated,104.31,51865750456,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adbe
ADTN,"ADTRAN, Inc.",22.4,1084118874,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adtn
ADRO,"Aduro Biotech, Inc.",11.7,786031974,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adro
AAAP,Advanced Accelerator Applications S.A.,30.14,1053977023,34969377,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaap
ADES,"Advanced Emissions Solutions, Inc.",9.38,206380964.3,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",53.5,2123348232,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aeis
AITP,Advanced Inhalation Therapies (AIT) Ltd.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aitp
AMD,"Advanced Micro Devices, Inc.",10.34,9583822523,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amd
ADXS,"Advaxis, Inc.",8.92,355409532.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adxs
ADXSW,"Advaxis, Inc.",5.1001,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adxsw
ADVM,"Adverum Biotechnologies, Inc.",3.2,133499248,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/advm
MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,23.7499,1187495,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/maui
AEGN,Aegion Corp,25.85,877935097.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aegn
AGLE,"Aeglea BioTherapeutics, Inc.",5.52,74138198.16,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agle
AEHR,Aehr Test Systems,2.75,44980322.75,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aehr
AMTX,"Aemetis, Inc",1.74,34553236.68,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amtx
AEPI,AEP Industries Inc.,118.7,607008178.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aepi
AERI,"Aerie Pharmaceuticals, Inc.",36.95,1233471182,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aeri
AVAV,"AeroVironment, Inc.",28.88,675431375.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/avav
AEZS,AEterna Zentaris Inc.,3.8,44348945,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aezs
AEMD,"Aethlon Medical, Inc.",4.81,37157596.32,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aemd
AFMD,Affimed N.V.,2,66518808,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afmd
AGEN,Agenus Inc.,4.28,372900050.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agen
AGRX,"Agile Therapeutics, Inc.",6.71,192964294.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agrx
AGYS,"Agilysys, Inc.",10.37,242644767.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",49.58,2083092644,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agio
AGNC,AGNC Investment Corp.,18.49,6121041964,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,25.01,8664716576,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agncb
AGNCP,AGNC Investment Corp.,25.25,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agncp
AGFS,"AgroFresh Solutions, Inc.",2.88,143779858.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.13,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agfsw
AIMT,"Aimmune Therapeutics, Inc.",23.08,978191400.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aimt
AIRM,Air Methods Corporation,32.9,1197281107,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/airm
AIRT,"Air T, Inc.",20.55,41979313.95,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",16.57,987046714.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atsg
AIRG,"Airgain, Inc.",18.25,138329981.3,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/airg
AMCN,AirMedia Group Inc,2.57,112745090.5,43869685,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amcn
AIXG,Aixtron SE,4.07,17250393.82,4238426,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aixg
AKAM,"Akamai Technologies, Inc.",64.94,11254096220,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,7.01,3506654.36,500236,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aktx
AKBA,"Akebia Therapeutics, Inc.",8.57,328440725,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/akba
AKER,Akers Biosciences Inc,1.85,10087208.25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",18.6,2329477597,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/akrx
ALRM,"Alarm.com Holdings, Inc.",27.64,1270730122,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alrm
ALSK,"Alaska Communications Systems Group, Inc.",1.61,82687181.78,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alsk
AMRI,"Albany Molecular Research, Inc.",18.02,772893891.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amri
ALBO,"Albireo Pharma, Inc.",24.67,155290865.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/albo
ABDC,Alcentra Capital Corp.,12.18,164315946.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc
ADHD,Alcobra Ltd.,1.99,54846230.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adhd
ALDR,"Alder BioPharmaceuticals, Inc.",22.35,1124121433,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",4.8,60366364.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aldx
ALXN,"Alexion Pharmaceuticals, Inc.",132.07,29616433096,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alxn
ALCO,"Alico, Inc.",29.85,248218719.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",98.62,7858968825,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",1.16,75240968.64,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alim
ALJJ,"ALJ Regional Holdings, Inc.",4.28,147673747.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,55.47,8429802637,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alks
ABTX,"Allegiance Bancshares, Inc.",33.95,438127058.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abtx
ALGT,Allegiant Travel Company,172.55,2855036802,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/algt
AIQ,"Alliance HealthCare Services, Inc.",7.95,85371480.45,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aiq
AHGP,"Alliance Holdings GP, L.P.",31.06,1859344780,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ahgp
AMMA,"Alliance MMA, Inc.",3.8,33778116.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amma
ARLP,"Alliance Resource Partners, L.P.",25.5,1896563138,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arlp
AHPI,"Allied Healthcare Products, Inc.",2.69,10796514.06,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",23.69,222006357.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amot
